Gene,Provenance_tier,Status_for_selection,In_core_panel,In_missing_half,In_curated_pool,Functional_axis,Category,Objective_tags,Priority_hint,Why_relevant,Expression_note,References
Pcdh19,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8).",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Pcdh7,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8).",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Pcdh8,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Cadherin/protocadherin,,,,,,
Pcdh9,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8).",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Pcp4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Pcp4l1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Pde1a,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Pdyn,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Penk,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Plxna1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Plxna2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Plxna3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Plxna4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Plxnb1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Plxnb2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Semaphorin-Plexin,,,,,,
Plxnb3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Semaphorin-Plexin,,,,,,
Plxnc1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Semaphorin-Plexin,,,,,,
Plxnd1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted. [Sema3e receptor]",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Pou3f2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [(Brn2) UL identity],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Pou3f3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [(Brn1) UL identity],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Ppfia1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Ppfia2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Ppfia3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Ppfia4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Prdx5,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Pthlh,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Ptn,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Ptpra,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Receptor tyr phosphatase,,,,,,
Ptprc,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Receptor tyr phosphatase,,,,,,
Ptprf,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Receptor tyr phosphatase,,,,,,
Ptprm,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Receptor tyr phosphatase,,,,,,
Ptprs,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Receptor tyr phosphatase,,,,,,
Ptpru,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Receptor tyr phosphatase,,,,,,
Ptx4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Immune / misc surface,,,,,,
Pvalb,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Rab3b,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Rasl10a,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Rbp4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Reln,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Rgs4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Robo1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Slit-Robo,"C,E",High,Midline/topographic axon guidance; callosal & cortico-thalamic routing.,Moderate; verify in Stage 2.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Robo2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Slit-Robo,"C,E",High,Midline/topographic axon guidance; callosal & cortico-thalamic routing.,Moderate; verify in Stage 2.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Robo3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Slit-Robo,"C,E",Med,Midline/topographic axon guidance; callosal & cortico-thalamic routing. [Often low expression],Low — floor risk,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Rorb,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Transcription factor,,,,,,
Rrad,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Ryk,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP). [Wnt guidance receptor]",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Satb2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Transcription factor,,,,,,
Scn1a,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Scn1b,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Scn2a,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Scn3b,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Scn8a,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
Sdc1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,ECM / proteoglycan,,,,,,
Sdc2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,ECM / proteoglycan,,,,,,
Sdc3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,ECM / proteoglycan,,,,,,
Sdc4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,ECM / proteoglycan,,,,,,
Sdk1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Sdk2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Sema3a,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Sema3b,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Semaphorin-Plexin,,,,,,
Sema3c,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Sema3d,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Sema3e,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted. [IT/PT projection specificity]",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Sema3f,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Semaphorin-Plexin,,,,,,
Sema4d,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Sema4g,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Semaphorin-Plexin,,,,,,
Sema5a,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Sema6a,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Sema6b,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Semaphorin-Plexin,,,,,,
Sema6c,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Semaphorin-Plexin,,,,,,
Sema6d,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Sema7a,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Axon guidance,Semaphorin-Plexin-Nrp,"C,E",High,"Repulsive guidance, dendritic & axonal targeting; some class-restricted.",Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Serpine2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Sirpa,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Immune / misc surface,,,,,,
Slc17a7,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Slit1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Slit-Robo,"C,E",High,Midline/topographic axon guidance; callosal & cortico-thalamic routing.,Moderate; verify in Stage 2.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Slit2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Slit-Robo,"C,E",High,Midline/topographic axon guidance; callosal & cortico-thalamic routing.,Moderate; verify in Stage 2.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Slit3,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Slit-Robo,"C,E",High,Midline/topographic axon guidance; callosal & cortico-thalamic routing.,Moderate; verify in Stage 2.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Slitrk1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8).",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Slitrk2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8).",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Slitrk3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8).",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Slitrk4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Synaptic organizer,,,,,,
Slitrk5,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Slitrk / non-clustered protocadherin,"C,D,E",Med,"Synaptic specificity and laminar/areal targeting (panel has Slitrk6, Pcdh8).",Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Slitrk6,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Synaptic organizer,,,,,,
Sorcs3,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Sox11,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [Neurite growth],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Sox4,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"C,E",Low,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability.,LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Sox5,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",High,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [Deep-layer/PT-CT],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Spock3,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Spon1,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Sst,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Stmn2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon growth,Cytoskeleton / growth effectors,"C,E",Low,Intracellular axon-growth machinery; mechanistically central to projection but often HIGH expression. [(SCG10) very high in neurons],VERY HIGH — likely exclude,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Synpr,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Tac2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Tafa2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Tafa3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Tafa4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Tafa5,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Tbr1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",High,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [L6/CT & IT class],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Tenm1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Teneurin (latrophilin partners),"C,D,E",High,Trans-synaptic teneurin–latrophilin code (panel already has Adgrl1/2/3); gradients give topographic wiring.,Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Tenm2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Synaptic wiring,Teneurin (latrophilin partners),"C,D,E",High,Trans-synaptic teneurin–latrophilin code (panel already has Adgrl1/2/3); gradients give topographic wiring. [Topographic gradient],Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Tenm3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Teneurin (latrophilin partners),"C,D,E",High,Trans-synaptic teneurin–latrophilin code (panel already has Adgrl1/2/3); gradients give topographic wiring. [Visual-system wiring/eye-specific],Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Tenm4,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,Yes,Synaptic wiring,Teneurin (latrophilin partners),"C,D,E",High,Trans-synaptic teneurin–latrophilin code (panel already has Adgrl1/2/3); gradients give topographic wiring.,Moderate.,Sudhof 2017; de Wit & Ghosh 2016 (synaptic adhesion codes)
Th,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Tle4,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Transcription factor,,,,,,
Tmem25,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Tnc,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,ECM / proteoglycan,,,,,,
Tnn,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,ECM / proteoglycan,,,,,,
Tnr,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,ECM / proteoglycan,,,,,,
Tnxb,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,ECM / proteoglycan,,,,,,
Tox,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,D,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [Layer/areal],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Tox2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,D,E",Low,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability.,LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Trpc6,1. Core panel (kept / fixed),Fixed — in current panel,extra genes,No,No,Ion channel / excitability,,,,,,
Tshz2,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Transcription factor,,,,,,
Unc5a,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Netrin-DCC-Unc5,"C,E",High,Attractive/repulsive guidance; descending & long-range projection routing.,Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Unc5b,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Netrin-DCC-Unc5,"C,E",High,Attractive/repulsive guidance; descending & long-range projection routing.,Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Unc5c,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Netrin-DCC-Unc5,"C,E",High,Attractive/repulsive guidance; descending & long-range projection routing.,Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Unc5d,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Netrin-DCC-Unc5,"C,E",High,Attractive/repulsive guidance; descending & long-range projection routing.,Moderate.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Vip,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Vstm2a,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Immune / misc surface,,,,,,
Vstm2b,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Immune / misc surface,,,,,,
Vtcn1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Immune / misc surface,,,,,,
Wnt7b,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Areal patterning,Areal-gradient extras,"D,E",Med,"Genes with cortical areal gradients (A-P / M-L), useful for objective D and V1 placement.",Some developmental — verify adult expression.,O'Leary & Sahara 2008; areal-gradient / Allen ISH
Zcchc12,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Zfpm2,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Med,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [(Fog2) PT/cortico-fugal],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
